season,sport,division,stage,rank,team,team_name,wins,losses,points,details,mvp,rookie,source
1998-1999,Badminton,Men's,Final Standings,2,UST,University of Santo Tomas,6,1,,RUNNER-UP,Kennevic C. Asuncion (UP),,IMG_1292
1998-1999,Badminton,Men's,Final Standings,3,UE,University of the East,5,2,,Third place,Kennevic C. Asuncion (UP),,IMG_1292
1998-1999,Badminton,Men's,Final Standings,4,ADMU,Ateneo de Manila University,4,3,,Fourth place,Kennevic C. Asuncion (UP),,IMG_1292
1998-1999,Badminton,Men's,Final Standings,5,FEU,Far Eastern University,3,4,,Fifth place,Kennevic C. Asuncion (UP),,IMG_1292
1998-1999,Badminton,Men's,Final Standings,6,DLSU,De La Salle University,2,5,,Sixth place,Kennevic C. Asuncion (UP),,IMG_1292
1998-1999,Badminton,Men's,Final Standings,7,AdU,Adamson University,1,6,,Seventh place,Kennevic C. Asuncion (UP),,IMG_1292
1998-1999,Badminton,Men's,Final Standings,8,NU,National University,0,7,,Eighth place,Kennevic C. Asuncion (UP),,IMG_1292
1998-1999,Badminton,Women's,Final Standings,1,UP,University of the Philippines,7,0,,Champion,Kennie C. Asuncion (UP),,IMG_1303
1998-1999,Badminton,Women's,Final Standings,2,FEU,Far Eastern University,6,1,,RUNNER-UP,Kennie C. Asuncion (UP),,IMG_1303
1998-1999,Badminton,Women's,Final Standings,3,ADMU,Ateneo de Manila University,5,2,,Third place,Kennie C. Asuncion (UP),,IMG_1303
1998-1999,Badminton,Women's,Final Standings,4,UST,University of Santo Tomas,4,3,,Fourth place,Kennie C. Asuncion (UP),,IMG_1303
1998-1999,Badminton,Women's,Final Standings,5,DLSU,De La Salle University,3,4,,Fifth place,Kennie C. Asuncion (UP),,IMG_1303
1998-1999,Badminton,Women's,Final Standings,6,AdU,Adamson University,2,5,,Sixth place,Kennie C. Asuncion (UP),,IMG_1303
1998-1999,Badminton,Women's,Final Standings,7,UE,University of the East,1,6,,Seventh place,Kennie C. Asuncion (UP),,IMG_1303
1998-1999,Badminton,Women's,Final Standings,8,NU,National University,0,7,,Eighth place,Kennie C. Asuncion (UP),,IMG_1303
1998-1999,Baseball,Men's,Final Standings,1,AdU,Adamson University,8,1,,Champion,,Joseph Orillana (DLSU),IMG_1320
1998-1999,Baseball,Men's,Final Standings,2,UP,University of the Philippines,7,3,,0,,Joseph Orillana (DLSU),IMG_1320
1998-1999,Baseball,Men's,Final Standings,3,UST,University of Santo Tomas,6,3,,Third place,,Joseph Orillana (DLSU),IMG_1320
1998-1999,Baseball,Men's,Final Standings,4,DLSU,De La Salle University,5,4,,Fourth place,,Joseph Orillana (DLSU),IMG_1320
1998-1999,Baseball,Men's,Final Standings,5,NU,National University,2,7,,Fifth place,,Joseph Orillana (DLSU),IMG_1320
1998-1999,Baseball,Men's,Final Standings,6,ADMU,Ateneo de Manila University,0,10,,Sixth place,,Joseph Orillana (DLSU),IMG_1320
1998-1999,Basketball,Juniors,Final Standings,1,UST,University of Santo Tomas,11,1,,,Alvin Espiritu (UST),Larry Alexander Fonacier (ADMU),IMG_1379
1998-1999,Basketball,Juniors,Final Standings,2,ADMU,Ateneo de Manila University,10,2,,,Alvin Espiritu (UST),Larry Alexander Fonacier (ADMU),IMG_1379
1998-1999,Basketball,Juniors,Final Standings,3,AdU,Adamson University,8,4,,,Alvin Espiritu (UST),Larry Alexander Fonacier (ADMU),IMG_1379
1998-1999,Basketball,Juniors,Final Standings,4,DLSZ,De La Salle Santiago Zobel School,6,6,,,Alvin Espiritu (UST),Larry Alexander Fonacier (ADMU),IMG_1379
1998-1999,Basketball,Juniors,Final Standings,5,UE,University of the East,5,7,,,Alvin Espiritu (UST),Larry Alexander Fonacier (ADMU),IMG_1379
1998-1999,Basketball,Juniors,Final Standings,6,UP,University of the Philippines,1,11,,,Alvin Espiritu (UST),Larry Alexander Fonacier (ADMU),IMG_1379
1998-1999,Basketball,Juniors,Final Standings,7,NU,National University,1,11,,,Alvin Espiritu (UST),Larry Alexander Fonacier (ADMU),IMG_1379
1998-1999,Basketball,Men's,Final Standings,1,DLSU,De La Salle University,13,1,,,Don Carlos Allado (DLSU),Jose Enrico Villanueva (ADMU),IMG_1312
1998-1999,Basketball,Men's,Final Standings,2,FEU,Far Eastern University,11,3,,,Don Carlos Allado (DLSU),Jose Enrico Villanueva (ADMU),IMG_1312
1998-1999,Basketball,Men's,Final Standings,3,UE,University of the East,7,7,,,Don Carlos Allado (DLSU),Jose Enrico Villanueva (ADMU),IMG_1312
1998-1999,Basketball,Men's,Final Standings,4,UST,University of Santo Tomas,7,7,,,Don Carlos Allado (DLSU),Jose Enrico Villanueva (ADMU),IMG_1312
1998-1999,Basketball,Men's,Final Standings,5,UP,University of the Philippines,7,7,,,Don Carlos Allado (DLSU),Jose Enrico Villanueva (ADMU),IMG_1312
1998-1999,Basketball,Men's,Final Standings,6,ADMU,Ateneo de Manila University,5,9,,,Don Carlos Allado (DLSU),Jose Enrico Villanueva (ADMU),IMG_1312
1998-1999,Basketball,Men's,Final Standings,7,NU,National University,5,9,,,Don Carlos Allado (DLSU),Jose Enrico Villanueva (ADMU),IMG_1312
1998-1999,Basketball,Men's,Final Standings,8,AdU,Adamson University,1,13,,,Don Carlos Allado (DLSU),Jose Enrico Villanueva (ADMU),IMG_1312
1998-1999,Basketball,Women's,Final Standings,1,FEU,Far Eastern University,10,2,,,Bimbie Manalaysay (FEU),Dorothy Torres (AdU),IMG_1316
1998-1999,Basketball,Women's,Final Standings,2,UST,University of Santo Tomas,10,2,,,Bimbie Manalaysay (FEU),Dorothy Torres (AdU),IMG_1316
1998-1999,Basketball,Women's,Final Standings,3,UP,University of the Philippines,7,5,,,Bimbie Manalaysay (FEU),Dorothy Torres (AdU),IMG_1316
1998-1999,Basketball,Women's,Final Standings,4,AdU,Adamson University,7,5,,,Bimbie Manalaysay (FEU),Dorothy Torres (AdU),IMG_1316
1998-1999,Basketball,Women's,Final Standings,5,DLSU,De La Salle University,6,6,,,Bimbie Manalaysay (FEU),Dorothy Torres (AdU),IMG_1316
1998-1999,Basketball,Women's,Final Standings,6,UE,University of the East,1,11,,,Bimbie Manalaysay (FEU),Dorothy Torres (AdU),IMG_1316
1998-1999,Basketball,Women's,Final Standings,7,ADMU,Ateneo de Manila University,1,11,,,Bimbie Manalaysay (FEU),Dorothy Torres (AdU),IMG_1316
1998-1999,Chess,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,6,7,26,Champion,Anton Paolo del Mundo (ADMU),,IMG_1383
1998-1999,Chess,Juniors,Final Standings,2,AdU,Adamson University,,,17,RUNNER-UP,Anton Paolo del Mundo (ADMU),,IMG_1383
1998-1999,Chess,Juniors,Final Standings,3,UST,University of Santo Tomas,4,7,,Third place,Anton Paolo del Mundo (ADMU),,IMG_1383
1998-1999,Chess,Juniors,Final Standings,4,UE,University of the East,,,13,Fourth place,Anton Paolo del Mundo (ADMU),,IMG_1383
1998-1999,Chess,Juniors,Final Standings,5,NU,National University,,,,Fifth place,Anton Paolo del Mundo (ADMU),,IMG_1383
1998-1999,Chess,Men's,Final Standings,1,UST,University of Santo Tomas,,,39,12,Jose Aquino Jr. (UP),,IMG_1323
1998-1999,Chess,Men's,Final Standings,2,UP,University of the Philippines,,,39,11.5,Jose Aquino Jr. (UP),,IMG_1323
1998-1999,Chess,Men's,Final Standings,3,DLSU,De La Salle University,,,37,,Jose Aquino Jr. (UP),,IMG_1323
1998-1999,Chess,Men's,Final Standings,4,UE,University of the East,,,33,"Gumama, Malik Faizal",Jose Aquino Jr. (UP),,IMG_1323
1998-1999,Chess,Men's,Final Standings,5,FEU,Far Eastern University,,,,"Banag, Andy L.",Jose Aquino Jr. (UP),,IMG_1323
1998-1999,Chess,Men's,Final Standings,6,AdU,Adamson University,,,,,Jose Aquino Jr. (UP),,IMG_1323
1998-1999,Chess,Men's,Final Standings,7,ADMU,Ateneo de Manila University,,,,,Jose Aquino Jr. (UP),,IMG_1323
1998-1999,Chess,Men's,Final Standings,8,NU,National University,,,,,Jose Aquino Jr. (UP),,IMG_1323
1998-1999,Chess,Women's,Final Standings,1,UE,University of the East,38.5,,,"Castro, Mary Grace",Mary Grace Castro (UE),,IMG_1326
1998-1999,Chess,Women's,Final Standings,3,UP,University of the Philippines,,,,"Quiachon, Donna",Mary Grace Castro (UE),,IMG_1326
1998-1999,Chess,Women's,Final Standings,4,AdU,Adamson University,,,,"Atencio, Ma. Criselda",Mary Grace Castro (UE),,IMG_1326
1998-1999,Chess,Women's,Final Standings,5,FEU,Far Eastern University,,,,"San Pedro, Jocelyn",Mary Grace Castro (UE),,IMG_1326
1998-1999,Fencing,Men's,Final Standings,1,DLSU,De La Salle University,1,2,,Champion,Ramil Endriano (UP),,"IMG_1366, IMG_1367, IMG_1369"
1998-1999,Fencing,Men's,Final Standings,3,FEU,Far Eastern University,5,2,,Third place,Ramil Endriano (UP),,"IMG_1366, IMG_1367, IMG_1369"
1998-1999,Fencing,Men's,Final Standings,3,UP,University of the Philippines,2,1,,"de GUZMAN, Richard",Ramil Endriano (UP),,"IMG_1366, IMG_1367, IMG_1369"
1998-1999,Fencing,Men's,Final Standings,4,ADMU,Ateneo de Manila University,4,1,,Fourth place,Ramil Endriano (UP),,"IMG_1366, IMG_1367, IMG_1369"
1998-1999,Fencing,Men's,Final Standings,5,UE,University of the East,6,0,,Fifth place,Ramil Endriano (UP),,"IMG_1366, IMG_1367, IMG_1369"
1998-1999,Fencing,Women's,Final Standings,1,UP,University of the Philippines,,,,,,,structured/fencing/1998-1999.json
1998-1999,Fencing,Women's,Final Standings,2,ADMU,Ateneo de Manila University,,,,,,,structured/fencing/1998-1999.json
1998-1999,Fencing,Women's,Final Standings,3,UE,University of the East,,,,,,,structured/fencing/1998-1999.json
1998-1999,Football,Men's,Final Standings,1,ADMU,Ateneo de Manila University,8,1,2,Champion,Ramos V. Espejo Jr. (ADMU),Paolo Buendia (ADMU),IMG_1329
1998-1999,Football,Men's,Final Standings,2,UST,University of Santo Tomas,6,3,2,26,Ramos V. Espejo Jr. (ADMU),Paolo Buendia (ADMU),IMG_1329
1998-1999,Football,Men's,Final Standings,3,UP,University of the Philippines,5,1,4,Third place,Ramos V. Espejo Jr. (ADMU),Paolo Buendia (ADMU),IMG_1329
1998-1999,Football,Men's,Final Standings,4,DLSU,De La Salle University,4,2,4,Fourth place,Ramos V. Espejo Jr. (ADMU),Paolo Buendia (ADMU),IMG_1329
1998-1999,Football,Men's,Final Standings,5,FEU,Far Eastern University,3,2,5,Fifth place,Ramos V. Espejo Jr. (ADMU),Paolo Buendia (ADMU),IMG_1329
1998-1999,Football,Men's,Final Standings,6,UE,University of the East,0,1,9,Sixth place,Ramos V. Espejo Jr. (ADMU),Paolo Buendia (ADMU),IMG_1329
1998-1999,Football,Women's,Final Standings,1,DLSU,De La Salle University,6,3,0,Champion,Jo Anne Lobo (DLSU),Marielle Benitez (DLSU),IMG_1332
1998-1999,Football,Women's,Final Standings,2,FEU,Far Eastern University,5,1,3,12,Jo Anne Lobo (DLSU),Marielle Benitez (DLSU),IMG_1332
1998-1999,Football,Women's,Final Standings,3,UP,University of the Philippines,4,3,1,Third place,Jo Anne Lobo (DLSU),Marielle Benitez (DLSU),IMG_1332
1998-1999,Football,Women's,Final Standings,4,ADMU,Ateneo de Manila University,2,0,6,Fourth place,Jo Anne Lobo (DLSU),Marielle Benitez (DLSU),IMG_1332
1998-1999,Football,Women's,Final Standings,5,UST,University of Santo Tomas,0,1,7,Fifth place,Jo Anne Lobo (DLSU),Marielle Benitez (DLSU),IMG_1332
1998-1999,General Championship,junior,Final Standings,1,UST,University of Santo Tomas,,,97,,,,structured/overall_standings/1998-1999.json
1998-1999,General Championship,junior,Final Standings,2,DLSU,De La Salle University,,,70,,,,structured/overall_standings/1998-1999.json
1998-1999,General Championship,junior,Final Standings,3,ADMU,Ateneo de Manila University,,,69,,,,structured/overall_standings/1998-1999.json
1998-1999,General Championship,junior,Final Standings,4,AdU,Adamson University,,,67,,,,structured/overall_standings/1998-1999.json
1998-1999,General Championship,junior,Final Standings,5,UE,University of the East,,,63,,,,structured/overall_standings/1998-1999.json
